Title,Date,Genre,My_Rating,Temp_C,Weather
Squid Game: Saison 1: Épisode 1,4/2/2024,Thriller,6,12.1,Cloudy
Squid Game: Saison 1: Épisode 2,4/2/2024,Thriller,6,12.1,Cloudy
Seinfeld: Saison 1: Épisode 1,4/2/2024,Comedy,6,12.1,Cloudy
Squid Game: Saison 1: Épisode 3,5/2/2024,Thriller,6,9.3,Cloudy
Squid Game: Saison 1: Épisode 4,5/2/2024,Thriller,9,9.3,Cloudy
Squid Game: Saison 1: Épisode 5,6/2/2024,Thriller,7,12.4,Cloudy
Spider-Man: Into the Spider-Verse,6/2/2024,Animation,10,12.4,Cloudy
Top Gun: Maverick,7/2/2024,Action,10,12.4,Rainy
Squid Game: Saison 1: Épisode 6,9/2/2024,Thriller,7,14.1,Rainy
Murder Mystery,9/2/2024,Comedy,6,14.1,Rainy
Death Note: Saison 1: Épisode 1,9/2/2024,Anime,7,14.1,Rainy
Whiplash,10/2/2024,Drama,10,9.9,Rainy
Demon Slayer: Saison 1: Épisode 1,10/2/2024,Anime,10,9.9,Rainy
Jujutsu Kaisen: Saison 1: Épisode 1,11/2/2024,Anime,8,10.6,Rainy
Klaus,11/2/2024,Animation,10,10.6,Rainy
Modern Family: Saison 1: Épisode 1,12/2/2024,Comedy,10,10.5,Rainy
Squid Game: Saison 1: Épisode 7,12/2/2024,Thriller,9,10.5,Rainy
Squid Game: Saison 1: Épisode 8,13/02/2024,Thriller,10,10.9,Rainy
Squid Game: Saison 1: Épisode 9,13/02/2024,Thriller,8,10.9,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 1,15/02/2024,Comedy,8,17.1,Rainy
John Wick,15/02/2024,Action,6,17.1,Rainy
Elite: Saison 1: Épisode 1,16/02/2024,Drama,8,13.9,Rainy
The Gray Man,16/02/2024,Action,4,13.9,Rainy
One Piece: Saison 1: Épisode 2,17/02/2024,Anime,8,13.8,Cloudy
Friends: Saison 1: Épisode 1,17/02/2024,Comedy,6,13.8,Cloudy
Elite: Saison 1: Épisode 2,17/02/2024,Drama,7,13.8,Cloudy
Arrival,17/02/2024,Sci-Fi,10,13.8,Cloudy
One Piece: Saison 1: Épisode 1,17/02/2024,Anime,10,13.8,Cloudy
Modern Family: Saison 1: Épisode 2,17/02/2024,Comedy,7,13.8,Cloudy
Cyberpunk: Edgerunners: Saison 1: Épisode 1,17/02/2024,Anime,9,13.8,Cloudy
Elite: Saison 1: Épisode 3,18/02/2024,Drama,5,11.6,Rainy
Shrek,18/02/2024,Animation,9,11.6,Rainy
Elite: Saison 1: Épisode 4,20/02/2024,Drama,5,10.9,Cloudy
Triple Frontier,20/02/2024,Action,8,10.9,Cloudy
How I Met Your Mother: Saison 1: Épisode 1,21/02/2024,Comedy,9,10.7,Rainy
Friends: Saison 1: Épisode 2,21/02/2024,Comedy,8,10.7,Rainy
One Piece: Saison 1: Épisode 3,21/02/2024,Anime,8,10.7,Rainy
The Power of the Dog,22/02/2024,Drama,6,14.2,Rainy
Parasite,23/02/2024,Thriller,10,9.1,Rainy
Elite: Saison 1: Épisode 5,24/02/2024,Drama,6,8.8,Rainy
Demon Slayer: Saison 1: Épisode 3,24/02/2024,Anime,10,8.8,Rainy
Demon Slayer: Saison 1: Épisode 2,24/02/2024,Anime,10,8.8,Rainy
Demon Slayer: Saison 1: Épisode 4,25/02/2024,Anime,10,8.8,Rainy
Elite: Saison 1: Épisode 6,25/02/2024,Drama,7,8.8,Rainy
Blade Runner 2049,25/02/2024,Sci-Fi,7,8.8,Rainy
Project Power,27/02/2024,Action,5,9.7,Cloudy
Elite: Saison 1: Épisode 7,28/02/2024,Drama,6,10.8,Cloudy
Elite: Saison 1: Épisode 8,1/3/2024,Drama,7,11.1,Rainy
Tall Girl,1/3/2024,Comedy,1,11.1,Rainy
Joker,1/3/2024,Drama,8,11.1,Rainy
How I Met Your Mother: Saison 1: Épisode 2,2/3/2024,Comedy,7,8.7,Rainy
Cyberpunk: Edgerunners: Saison 1: Épisode 2,2/3/2024,Anime,10,8.7,Rainy
Friends: Saison 1: Épisode 3,2/3/2024,Comedy,6,8.7,Rainy
Knives Out,2/3/2024,Mystery,6,8.7,Rainy
How I Met Your Mother: Saison 1: Épisode 3,2/3/2024,Comedy,8,8.7,Rainy
Elite: Saison 2: Épisode 2,3/3/2024,Drama,5,8.7,Rainy
Demon Slayer: Saison 1: Épisode 5,3/3/2024,Anime,10,8.7,Rainy
Death Note: Saison 1: Épisode 2,3/3/2024,Anime,10,8.7,Rainy
Elite: Saison 2: Épisode 1,3/3/2024,Drama,6,8.7,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 2,4/3/2024,Comedy,9,11.2,Rainy
Elite: Saison 2: Épisode 3,4/3/2024,Drama,5,11.2,Rainy
Everything Everywhere All At Once,4/3/2024,Sci-Fi,8,11.2,Rainy
Fight Club,5/3/2024,Drama,7,9.4,Rainy
6 Underground,6/3/2024,Action,5,9.5,Rainy
Elite: Saison 2: Épisode 4,6/3/2024,Drama,5,9.5,Rainy
Seinfeld: Saison 1: Épisode 2,7/3/2024,Comedy,9,12.9,Sunny
Elite: Saison 2: Épisode 5,8/3/2024,Drama,5,13.6,Cloudy
Don't Look Up,8/3/2024,Comedy,8,13.6,Cloudy
Shrek,9/3/2024,Animation,8,13.9,Rainy
Elite: Saison 2: Épisode 6,9/3/2024,Drama,6,13.9,Rainy
After,9/3/2024,Romance,3,13.9,Rainy
Toy Story,10/3/2024,Animation,10,10.5,Rainy
The Irishman,10/3/2024,Crime,10,10.5,Rainy
The Good Place: Saison 1: Épisode 1,13/03/2024,Comedy,10,14.4,Cloudy
Elite: Saison 2: Épisode 7,13/03/2024,Drama,4,14.4,Cloudy
Brooklyn Nine-Nine: Saison 1: Épisode 3,14/03/2024,Comedy,7,17.6,Cloudy
Demon Slayer: Saison 1: Épisode 6,14/03/2024,Anime,7,17.6,Cloudy
The Emoji Movie,15/03/2024,Animation,1,16.1,Rainy
