Title,Date,Genre,My_Rating,Temp_C,Weather
Squid Game: Saison 1: Épisode 1,04/02/2024,Thriller,6,12.1,Cloudy
Squid Game: Saison 1: Épisode 2,04/02/2024,Thriller,6,12.1,Cloudy
Seinfeld: Saison 1: Épisode 1,04/02/2024,Comedy,6,12.1,Cloudy
Squid Game: Saison 1: Épisode 3,05/02/2024,Thriller,6,9.3,Cloudy
Squid Game: Saison 1: Épisode 4,05/02/2024,Thriller,9,9.3,Cloudy
Squid Game: Saison 1: Épisode 5,06/02/2024,Thriller,7,12.4,Cloudy
Spider-Man: Into the Spider-Verse,06/02/2024,Animation,10,12.4,Cloudy
Top Gun: Maverick,07/02/2024,Action,10,12.4,Rainy
Squid Game: Saison 1: Épisode 6,09/02/2024,Thriller,7,14.1,Rainy
Murder Mystery,09/02/2024,Comedy,6,14.1,Rainy
Death Note: Saison 1: Épisode 1,09/02/2024,Anime,7,14.1,Rainy
Whiplash,10/02/2024,Drama,10,9.9,Rainy
Demon Slayer: Saison 1: Épisode 1,10/02/2024,Anime,10,9.9,Rainy
Jujutsu Kaisen: Saison 1: Épisode 1,11/02/2024,Anime,8,10.6,Rainy
Klaus,11/02/2024,Animation,10,10.6,Rainy
Modern Family: Saison 1: Épisode 1,12/02/2024,Comedy,10,10.5,Rainy
Squid Game: Saison 1: Épisode 7,12/02/2024,Thriller,9,10.5,Rainy
Squid Game: Saison 1: Épisode 8,13/02/2024,Thriller,10,10.9,Rainy
Squid Game: Saison 1: Épisode 9,13/02/2024,Thriller,8,10.9,Rainy
Brooklyn Nine-Nine: Saison 1: Épisode 1,15/02/2024,Comedy,8,17.1,Rainy
John Wick,15/02/2024,Action,6,17.1,Rainy
Elite: Saison 1: Épisode 1,16/02/2024,Drama,8,13.9,Rainy
The Gray Man,16/02/2024,Action,4,13.9,Rainy
One Piece: Saison 1: Épisode 2,17/02/2024,Anime,8,13.8,Cloudy
Friends: Saison 1: Épisode 1,17/02/2024,Comedy,6,13.8,Cloudy
Elite: Saison 1: Épisode 2,17/02/2024,Drama,7,13.8,Cloudy
Arrival,17/02/2024,Sci-Fi,10,13.8,Cloudy
One Piece: Saison 1: Épisode 1,17/02/2024,Anime,10,13.8,Cloudy
Modern Family: Saison 1: Épisode 2,17/02/2024,Comedy,7,13.8,Cloudy
Cyberpunk: Edgerunners: Saison 1: Épisode 1,17/02/2024,Anime,9,13.8,Cloudy
Elite: Saison 1: Épisode 3,18/02/2024,Drama,5,11.6,Rainy
Shrek,18/02/2024,Animation,9,11.6,Rainy
Elite: Saison 1: Épisode 4,20/02/2024,Drama,5,10.9,Cloudy
Triple Frontier,20/02/2024,Action,8,10.9,Cloudy
How I Met Your Mother: Saison 1: Épisode 1,21/02/2024,Comedy,9,10.7,Rainy
Friends: Saison 1: Épisode 2,21/02/2024,Comedy,8,10.7,Rainy
One Piece: Saison 1: Épisode 3,21/02/2024,Anime,8,10.7,Rainy
The Power of the Dog,22/02/2024,Drama,6,14.2,Rainy
Parasite,23/02/2024,Thriller,10,9.1,Rainy
Elite: Saison 1: Épisode 5,24/02/2024,Drama,6,8.8,Rainy
Demon Slayer: Saison 1: Épisode 3,24/02/2024,Anime,10,8.8,Rainy
Demon Slayer: Saison 1: Épisode 2,24/02/2024,Anime,10,8.8,Rainy
Demon Slayer: Saison 1: Épisode 4,25/02/2024,Anime,10,8.8,Rainy
Elite: Saison 1: Épisode 6,25/02/2024,Drama,7,8.8,Rainy
Blade Runner 2049,25/02/2024,Sci-Fi,7,8.8,Rainy
Project Power,27/02/2024,Action,5,9.7,Cloudy
