datetime,location,social_context,activity,coffee_type,price,caffeine_mg,mood_before,mood_after,sleep_hours_next_night
2024-01-01 07:30:29.841983,Home,Alone,Morning Routine,Instant,0.3,65,2,3,7.3
2024-01-01 08:27:56.555055,On the go,Alone,Working,Flat White,3.54,130,3,5,7.3
2024-01-01 12:17:04.962269,Work,With Colleagues,Working,Office Machine,0.0,70,7,9,5.4
2024-01-01 17:47:32.206640,Coffee Shop,With Colleagues,Working,Americano,5.45,95,6,8,7.5
2024-01-01 19:18:42.899880,Home,Alone,Reading,Espresso,0.5,65,6,7,6.0
2024-01-01 22:18:11.867994,Home,Alone,Reading,Filter Coffee,0.5,100,4,6,4.3
2024-01-03 07:44:26.166588,Home,Alone,Morning Routine,Filter Coffee,0.5,100,7,10,8.3
2024-01-04 12:23:43.693366,Work,With Colleagues,Working,Office Machine,0.0,70,5,7,8.8
2024-01-04 21:15:14.299760,Home,Alone,Reading,Filter Coffee,0.5,100,5,6,5.7
2024-01-04 22:44:11.254196,Home,Alone,Reading,Filter Coffee,0.3,100,5,6,4.8
2024-01-05 06:36:37.959003,Home,Alone,Morning Routine,Filter Coffee,0.3,100,7,9,7.6
2024-01-05 11:46:40.613794,Work,With Colleagues,Working,Office Machine,0.0,70,4,7,7.8
2024-01-05 20:35:15.695752,Home,Alone,Reading,Filter Coffee,0.5,100,7,10,6.0
2024-01-06 17:28:41.879298,Coffee Shop,With Friends,Socializing,Cappuccino,3.73,75,8,9,7.4
2024-01-07 09:05:56.827941,Home,Alone,Relaxing,Filter Coffee,0.5,100,6,9,6.2
2024-01-07 22:16:48.313921,Home,With Family,Relaxing,Espresso,0.3,65,7,10,5.2
2024-01-08 21:51:44.376004,Home,Alone,Reading,Filter Coffee,0.3,100,6,9,5.0
2024-01-09 08:28:01.360323,Coffee Shop,With Colleagues,Working,Americano,5.32,95,6,9,6.7
2024-01-09 16:55:10.402076,On the go,With Colleagues,Working,Flat White,4.89,130,7,9,5.9
